Before Statements,After Statements,Error Correction
Keeping the Secret of Genetic Testing,Keeping the Secret of Genetic Testing,[]
What is genetic risk?,What is genetic risk?,[]
Genetic risk refers more to your chance of inheriting a disorder or disease.,Genetic risk refers to your chance of inheriting a disorder or disease.,"[{'idx_src': [3], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
People get certain disease because of genetic changes.,People get certain diseases because of genetic changes.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Nn'}]"
How much a genetic change tells us about your chance of developing a disorder is not always clear.,How much a genetic change tells us about your chance of developing a disorder is not always clear.,[]
"If your genetic results indicate that you have gene changes associated with an increased risk of heart disease, it does not mean that you definitely will develop heart disease.","If your genetic results indicate that you have gene changes associated with an increased risk of heart disease, it does not mean that you definitely will develop heart disease.",[]
The opposite is also true.,The opposite is also true;,"[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Mec'}]"
"If your genetic results show that you do not have changes associated with an increased risk of heart disease, it is still possible that you develop heart disease.","If your genetic results show that you do not have changes associated with an increased risk of heart disease, it is still possible that you might develop heart disease.","[{'idx_src': [], 'idx_tgt': [26], 'corr_type': 'V0'}]"
"However for some rare diseases, people who have certain gene changes are guaranteed to develop the disease.","However, in the case of some rare diseases, people who have certain gene changes are guaranteed to develop the disease.","[{'idx_src': [], 'idx_tgt': [1], 'corr_type': 'Mec'}, {'idx_src': [1], 'idx_tgt': [2, 3, 4, 5], 'corr_type': 'Wci'}]"
"When we are diagonosed out with certain genetic disease, are we suppose to disclose this result to our relatives?","When we are diagnosed with certain genetic diseases, are we supposed to disclose this result to our relatives?","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [4], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [8], 'idx_tgt': [7], 'corr_type': 'Nn'}, {'idx_src': [12], 'idx_tgt': [11], 'corr_type': 'Vform'}]"
My answer is no.,My answer is no.,[]
"On one hand, we do not want this potential danger causing firghtenning affects in our families 'later lives.","On one hand, we do not want this potential danger causing frightening effects in our families 'later lives.","[{'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Mec'}, {'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Mec'}]"
"When people around us know that we got certain disease, their altitudes will be easily changed, whether caring us too much or keeping away from us.","When people around us know that we have a certain disease, their attitudes will be easily changed, whether caring about us too much or keeping away from us.","[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [8], 'corr_type': 'ArtOrDet'}, {'idx_src': [12], 'idx_tgt': [13], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [21], 'corr_type': 'Prep'}]"
And both are not what we want since most of us just want to live as normal people.,"And neither is what we want, as most of us just want to live as normal people.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Pform'}, {'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'SVA'}, {'idx_src': [3], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Mec'}, {'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wtone'}]"
"Surrounded by such concerns, it is very likely that we are distracted to worry about these problems.","Surrounded by such concerns, it is very likely that we are too distracted to worry about these problems.","[{'idx_src': [], 'idx_tgt': [12], 'corr_type': 'Others'}]"
"It is a concern that will be with us during our whole life, because we will never know when the ''potential bomb' 'will explode.","It is a concern that will be with us during our whole lives, because we will never know when the ''potential bomb' 'will explode.","[{'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Nn'}]"
"On the other hand, if there are ways can help us to control or cure the disease, we can going through thses process from the scope of the whole family.","On the other hand, if there are ways that can help us control or cure the disease, we can go through these processes from the scope of the whole family.","[{'idx_src': [], 'idx_tgt': [9], 'corr_type': 'Ssub'}, {'idx_src': [12], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'Vform'}, {'idx_src': [23], 'idx_tgt': [23], 'corr_type': 'Mec'}, {'idx_src': [24], 'idx_tgt': [24], 'corr_type': 'Nn'}]"
"For an example, if exercising is helpful for family potential disease, we can always look for more chances for the family to go exercise.","For example, if exercising is helpful for a family to prevent potential disease, we can always look for more chances for the family to exercise,","[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [8], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [10, 11], 'corr_type': 'V0'}, {'idx_src': [24], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [26], 'idx_tgt': [27], 'corr_type': 'Mec'}]"
And we keep track of all family members health conditions.,whilst keeping track of all family members 'health conditions.,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Trans'}, {'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [2], 'idx_tgt': [1], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [7], 'corr_type': 'Npos'}]"
"At the same time, we are prepared to know when there are other members got this disease.","At the same time, we are prepared when other members get this disease.","[{'idx_src': [8, 9], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [11, 12], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [15], 'idx_tgt': [11], 'corr_type': 'Vt'}]"
Here I want to share Forest'view on this issue.,I want to share Forest's view on this issue.,"[{'idx_src': [0], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [5], 'idx_tgt': [4, 5, 6], 'corr_type': 'Mec'}]"
"Although some people feel that an individual who is found to carry a dominant gene for Huntington's disease has an ethical obligation to disclose that fact to his or her siblings, there currently is no legal requirement to do so.","""Although some people feel that an individual who is found to carry a dominant gene for Huntington's disease has an ethical obligation to disclose that fact to his or her siblings, there currently is no legal requirement to do so.","[{'idx_src': [], 'idx_tgt': [0], 'corr_type': 'Mec'}]"
"In fact, requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious.","In fact, requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious.",[]
"""","""",[]
Nothing is absolute right or wrong.,Nothing is absolutely right or wrong.,"[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Wform'}]"
"If certain disease genetic test is very accurate and it is unavoidable and necessary to get treatment and known by others, it is OK to disclose the result.","If a certain disease's genetic test is very accurate, and it is unavoidable and necessary to get treatment that will be discovered by others, it is acceptable to disclose the result.","[{'idx_src': [], 'idx_tgt': [1], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [4], 'corr_type': 'Npos'}, {'idx_src': [], 'idx_tgt': [10], 'corr_type': 'Mec'}, {'idx_src': [17], 'idx_tgt': [20, 21, 22], 'corr_type': 'Trans'}, {'idx_src': [18], 'idx_tgt': [23], 'corr_type': 'Wci'}, {'idx_src': [24], 'idx_tgt': [29], 'corr_type': 'Wtone'}]"
"Above all, life is more important than secret.","Above all, life is more important than secrets.","[{'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Nn'}]"
Genetic risk does carry its consequences and should not be taken lightly within the family circle.,Genetic risk does carry its consequences and should not be taken lightly within the family circle.,[]
"Afterall, what affects one family may or may not affect another although the families has a common genetic make up, shared by either of the parents.","After all, what affects one family may or may not affect another, although the families may have a common genetic make up shared by either of the parents.","[{'idx_src': [0], 'idx_tgt': [0, 1], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [13], 'corr_type': 'Mec'}, {'idx_src': [15], 'idx_tgt': [17, 18], 'corr_type': 'V0'}, {'idx_src': [21], 'idx_tgt': [], 'corr_type': 'Mec'}]"
"In cases where an individual has gotten to know of a genetic disorder, disclosing or otherwise, to his or her relative is solely a matter of preference within the indivdial moral system.","In cases where an individual has gotten to know of a genetic disorder, disclosing or otherwise to his or her relative is solely a matter of preference within the individual moral system.","[{'idx_src': [17], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [31], 'idx_tgt': [30], 'corr_type': 'Mec'}]"
"The issue on right to know or not to know is highly debatable although it is a genetic risk, one can not be entire sure because the genetic information could possibly result from the families of either parents-his maternal and paternal uncles, aunts or cousin.","The issue on the right to know or not is highly debatable; although it is a genetic risk, one can not be entirely sure because the genetic information could possibly result from the families of either parents-his maternal and paternal uncles, aunts or cousins.","[{'idx_src': [], 'idx_tgt': [3], 'corr_type': 'ArtOrDet'}, {'idx_src': [8, 9], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [12], 'corr_type': 'Mec'}, {'idx_src': [24], 'idx_tgt': [24], 'corr_type': 'Wform'}, {'idx_src': [48], 'idx_tgt': [48], 'corr_type': 'Nn'}]"
"This also means that as soon a person is made aware of his or her genetic profile, he or she concurently has a knowledge about others.","This also means that as soon a person is made aware of his or her genetic profile, he or she concurently has knowledge about others.","[{'idx_src': [23], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]"
"This knowledge maybe relavant to them, and vice versa.","This knowledge may be relevant to them, and vice versa.","[{'idx_src': [2], 'idx_tgt': [2, 3], 'corr_type': 'Mec'}, {'idx_src': [3], 'idx_tgt': [4], 'corr_type': 'Mec'}]"
An example that may serve as an illustration is breast cancer.,An example that may serve as an illustration is breast cancer.,[]
It is hereditary.,It is hereditary.,[]
Do one who suffered from this disease keep it a secret of infrom their relatives?,Does one who suffers from this disease keep it a secret or inform their relatives?,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'SVA'}, {'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Mec'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Mec'}]"
"In retrospect, its is also ones duty to ensure that he or she undergo periodic healthchecks in their own.","In retrospect, it is also one's duty to ensure that they undergo periodic healthchecks on their own.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [6], 'idx_tgt': [6, 7], 'corr_type': 'Npos'}, {'idx_src': [11, 12, 13], 'idx_tgt': [12], 'corr_type': 'Pref'}, {'idx_src': [17], 'idx_tgt': [16], 'corr_type': 'Mec'}]"
